"id","title","director","genre","release_year","poster"
"2040","The Hidden World","Unknown","Italian","1926","https://picsum.photos/seed/8025/150"
"3109","The Hidden World","Unknown","Italian","2007","https://picsum.photos/seed/2620/150"
"3293","The Hidden World","Unknown","Fantasy","2001","https://picsum.photos/seed/3081/150"
"3521","Journey to the Stars","Unknown","Fantasy","1986","https://picsum.photos/seed/3641/150"
"4139","A New Dawn","Unknown","Fantasy","1965","https://picsum.photos/seed/8561/150"
"4334","Journey to the Stars","Unknown","Sci-Fi","1916","https://picsum.photos/seed/2046/150"
"4428","The Hidden World","Unknown","Fantasy","1911","https://picsum.photos/seed/4886/150"
"4449","The Hidden World","Unknown","Chinese","1979","https://picsum.photos/seed/1879/150"
"4728","The Hidden World","Unknown","Italian","1913","https://picsum.photos/seed/7455/150"
"4947","Journey to the Stars","Unknown","Sci-Fi","1959","https://picsum.photos/seed/1313/150"
"4986","Journey to the Stars","Unknown","Chinese","1949","https://picsum.photos/seed/8429/150"
"5991","Journey to the Stars","Unknown","Chinese","1971","https://picsum.photos/seed/3991/150"
"6327","A New Dawn","Unknown","Romance","1941","https://picsum.photos/seed/3459/150"
"6452","A New Dawn","Unknown","Romance","1907","https://picsum.photos/seed/7052/150"
"7022","Journey to the Stars","Unknown","Fantasy","1923","https://picsum.photos/seed/5420/150"
"7190","Journey to the Stars","Unknown","Chinese","1971","https://picsum.photos/seed/1045/150"
"7316","A New Dawn","Unknown","Italian","2014","https://picsum.photos/seed/3087/150"
"7859","A New Dawn","Unknown","Italian","1911","https://picsum.photos/seed/6544/150"
"8345","A New Dawn","Unknown","Sci-Fi","1983","https://picsum.photos/seed/4529/150"
"8349","Unknown","Unknown","Unknown",NULL,NULL
"8350","Teszt3","Jani","IT","2025","https://picsum.photos/seed/4529/150"
